HIVE:	GENE_SYMBOL	10090:Mus_musculus:mmusculus
Gene	Amacrine:EARLY	Amacrine:LATE	Amacrine:MID	Astrocyte:EARLY	Astrocyte:LATE	Astrocyte:MID	Bipolar:EARLY	Bipolar:LATE	Bipolar:MID	Cone:EARLY	Cone:LATE	Cone:MID	Endothelial:EARLY	Endothelial:LATE	Endothelial:MID	Horizontal:EARLY	Horizontal:LATE	Horizontal:MID	Microglia:EARLY	Microglia:LATE	Microglia:MID	Muller:Glia-EARLY	Muller:Glia-LATE	Muller:Glia-MID	Pericyte:EARLY	Pericyte:LATE	Pericyte:MID	RGC:EARLY	RGC:LATE	RGC:MID	Rod:EARLY	Rod:LATE	Rod:MID	RPE:EARLY
Cadm3			0.63:1.36e-16:0.735:0.55																															
Cited2			0.63:9.02e-11:0.803:0.659					0.2:0.00825:0.601:0.523	0.28:0.000366:0.604:0.54																								0.31:1.95e-14:0.654:0.537	
Zmiz1			0.63:1.13e-18:0.729:0.547						0.21:0.00722:0.648:0.638																									
Gnl3l			0.63:4.12e-15:0.737:0.566																															
Tspyl4			0.63:1.19e-13:0.931:0.886				-0.19:0.00000843:0.721:0.811		0.33:3.7e-10:0.74:0.691			0.38:0.0106:0.409:0.216																					0.18:2.32e-12:0.196:0.115	
Lsamp			0.63:7.18e-8:0.795:0.664																															
Ncam1			0.63:3.64e-14:0.949:0.886						0.28:0.00000965:0.675:0.623															0.35:0.0214:0.928:0.924									0.36:4.66e-17:0.512:0.383	
Prrc2c			0.63:9.28e-16:0.834:0.661						0.25:0.00114:0.611:0.591																								0.28:8.02e-12:0.553:0.419	
Hnrnpa3			0.62:2.84e-19:0.901:0.796						0.2:0.00567:0.83:0.824																								0.2:0.00000673:0.436:0.374	
Pax6			0.62:1.47e-19:0.971:0.941																															
Camk2d			0.62:1.76e-11:0.75:0.623																													0.3:0.0000143:0.704:0.633	0.29:1.02e-12:0.684:0.537	
Son			0.62:4.85e-18:0.909:0.81				0.25:2.2e-16:0.982:0.967																								0.16:0.00174:0.904:0.882	0.19:0.000922:0.925:0.917	0.46:7.6e-25:0.775:0.658	
Ptprn			0.61:7.36e-13:0.598:0.467																															
Tmx4			0.61:1.93e-14:0.907:0.841						0.24:0.0000175:0.463:0.385																									
Olfm1			0.61:0.000429:0.439:0.296																															
Ier5			0.61:3.49e-10:0.419:0.235																															
