Gene ID	ZT_15_30: LogFC	ZT_15_30: FDR	ZT_0_15: LogFC	ZT_0_15: FDR	ZT_5_45:LogFC	ZT_5_45:FDR	ZT_11_15:LogFC	ZT_11_15:FDR
FCGR2A	-0.108743727	0.974251305	-0.112611785	0.946345743	0.457206899	0.87968717	0.453072215	0.838952215
FCGR2B	0.954669498	0.045893347	1.246799497	0.000210257	0.79172523	0.136695903	0.936222534	0.033136613
FCGR2C	0.258114003	0.936543673	0.961494258	0.419523559	1.381669573	0.465968951	0.923173306	0.583055369
FCGR3A	-0.77362347	0.759890684	-1.498896928	0.227040285	-0.512475037	0.903228839	0.115381658	0.98516532
FCGR3B	-1.353731631	0.696421195	-3.447762861	0.053712452	0.060025612	1	-0.118432116	0.994523232
FCGRT	0.493769885	0.281988454	0.418578802	0.209975544	0.242392047	0.767714303	0.304073048	0.57261246
FCHO1	0.085170705	0.987017691	-0.339639801	0.892456551	-0.748396239	0.87036459	-0.407558234	0.935381521
FCHO2	0.139190549	0.895170617	-0.007711157	0.998557094	-0.048755584	0.979877383	0.097389868	0.930785031
FCHSD1	0.011052709	0.996684062	0.180060444	0.864342976	0.768357067	0.561196322	0.446969582	0.738473663
FCHSD2	-0.047810074	0.950825976	-0.192536005	0.508949924	-0.055727867	0.96386151	0.042707267	0.963006592
FCN1	-1.555054919	0.616276994	-3.005457326	0.078575308	-0.181362395	0.987333296	-0.065102512	0.998349492
FCN2	-2.193692855	0.565763146	-2.200510479	0.388870212	-2.028523097	0.670488138	-2.323872607	0.489221686
FCN3	-1.123727753	0.651685211	-0.367869165	0.851919207	-2.153937847	0.217521194	-0.488391038	0.876408922
FCRL1	-2.298192074	0.442605704	-4.168956385	0.028099333	0.010859159	1	-0.931158827	0.824350735
FCRL2	-1.824094372	0.67379044	-4.447042357	0.06916256	0.393677473	0.972510093	-0.775413952	0.90655331
FCRL3	-1.844176393	0.576176177	-4.089555925	0.031339071	-0.615529221	0.936132741	-0.268106788	0.971336068
FCRL5	-4.103621041	0.193012927	-1.417260331	0.577729221	0.495161226	0.956954485	0.394813761	0.95699393
FCRL6	-0.813083105	0.826864254	-1.315777675	0.393040258	1.076570544	0.740925041	0.093276744	0.994523232
FCRLA	-2.183305068	0.62795942	-3.65314464	0.16247543	-0.393402663	0.97402433	-0.439875959	0.960363365
FCRLB	0.692390763	0.81918716	0.461648108	0.815237405	0.286183334	0.96340985	-0.207638033	0.963406451
FDFT1	-0.300029869	0.46405092	-0.305010232	0.245092303	-0.238278004	0.660595449	-0.319320696	0.376731781
FDPS	-0.136496024	0.909698118	0.040561675	0.956352542	-0.297108473	0.769781259	-0.18232064	0.852783186
FDX1	0.071069575	0.948164958	0.001305591	1	-0.089049694	0.956954485	0.287717899	0.65460074
FDX1L	-0.312836123	0.856001223	-0.767787192	0.283181083	-0.553775561	0.72938855	0.715687807	0.473349747
FDXACB1	0.385562217	0.804638733	-0.567373094	0.528403903	0.429469715	0.834077254	0.411553807	0.79689277
FDXR	1.092562173	0.630656076	0.645911859	0.669390447	-0.059090524	0.999653159	-0.071584916	0.996500401
FECH	-0.115071278	0.918248351	-0.444655328	0.236194875	-0.121397852	0.93719473	-0.068843333	0.958393686
FEM1A	0.266163997	0.819805261	-0.0395196	0.972953393	0.030547474	0.999113078	0.085240543	0.966066504
FEM1B	-0.128334807	0.828087447	0.168162749	0.596712679	0.052134251	0.967297902	0.202972955	0.645585134
FEM1C	0.069598117	0.919578709	0.047939442	0.897864438	0.103344493	0.890473925	0.166349161	0.682607799
FEN1	-0.182032462	0.906521324	-0.177637026	0.837767748	0.081301149	0.975499822	0.378228176	0.692619128
FER	0.283393942	0.620978157	0.393769285	0.225124989	0.276565449	0.698567745	0.167951014	0.806997216
FER1L4	2.165222612	0.696180449	-0.125961846	0.989655112	0.599925892	0.963777934	-0.024086656	1
FER1L5	-0.031519688	0.997592087	1.38042863	0.63376382	-0.395706468	0.97118782	0.418581441	0.95401883
FER1L6	-0.687838488	0.916805028	3.693579039	0.114332223	0.84835794	0.914465877	0.851898535	0.878377569
FERMT1	0.475780453	0.917886823	1.230141637	0.503328058	-0.23805781	0.975284933	-0.552940808	0.890221994
FERMT2	-0.214895975	0.789816265	0.11230186	0.846103598	-0.230242418	0.819567815	-0.449314067	0.385181554
FERMT3	0.568471313	0.752348104	0.175787466	0.902109508	0.409298575	0.878080772	0.771403584	0.579663364
FES	0.396358927	0.796748129	-0.303894633	0.751665725	-0.844448504	0.510481484	-0.053991195	0.988857638
FEZ1	0.598601483	0.410853368	1.111092125	0.00804991	0.869109484	0.148648729	0.713975357	0.221913406
FEZ2	0.090395988	0.928258876	0.376215381	0.246822754	0.268380955	0.706605646	0.121364824	0.88432877
FFAR2	-1.88896581	0.206039358	-2.598129322	0.011043013	-0.692647984	0.819567815	-0.770900007	0.70486089
FGD1	0.475985358	0.635977985	-0.26105726	0.743168919	0.394841008	0.783378605	0.000468731	1
FGD2	0.018294639	0.995385949	-0.207703488	0.853008823	0.787588426	0.557280876	0.20242923	0.923456998
FGD3	0.050242713	0.991992128	-1.89402968	0.084489449	-0.315737246	0.949796572	0.003878643	1
FGD4	0.002987006	0.997435411	-0.134419842	0.678227621	-0.289834689	0.493438034	-0.360336806	0.231589647
FGD5	-0.036865315	0.978858161	0.053343639	0.938073014	-0.124545501	0.93792646	-0.108923694	0.921887679
FGD6	0.133804878	0.881453582	0.087878574	0.868283228	-0.058279093	0.971721657	0.084758185	0.934234076
FGF1	1.069625947	0.186713366	1.507238672	0.006738099	1.193607108	0.126866985	0.871244269	0.289706848
FGF10	0.186508552	0.933314808	-0.800981553	0.249792655	-0.621728626	0.662869267	-0.044849438	0.994525146
FGF11	1.654387985	0.216693496	0.010884897	0.999210355	1.016882042	0.590521565	0.50640356	0.81492983
FGF12	-0.554175819	0.766998146	0.109317365	0.945193951	-0.743240983	0.711748175	-0.472766845	0.798819403
FGF13	0.029845696	0.98853315	-0.048854573	0.965810886	-0.275109766	0.8887479	-0.037192238	0.994988829
FGF14	0.21033438	0.904702432	0.19825407	0.835927813	0.27133985	0.905503243	0.246088918	0.875442324
FGF18	-0.385880701	0.906179151	1.216844157	0.38449912	0.238063155	0.968429778	0.334003729	0.927720647
FGF2	-0.456125833	0.306178424	-0.538473426	0.062119495	-0.173402248	0.850494114	-0.407248782	0.340431809
FGF7	0.246523806	0.837266009	0.127464984	0.872329253	0.224457767	0.896090959	0.323497528	0.744587537
FGF9	0.294690642	0.948164958	0.873421997	0.662340464	0.457962692	0.944446455	1.705349748	0.46169829
FGFBP1	-2.185073859	0.618403263	2.263262468	0.424351739	0	1	-2.899445887	0.479641326
FGFBP2	-1.066464653	0.508895074	-1.243777331	0.207185899	-0.730995721	0.758233766	-0.767764089	0.655274686
FGFBP3	0.162425499	0.925815477	-0.307193868	0.679228404	-0.223262832	0.914754075	-0.268121011	0.846810428
FGFR1	0.121556856	0.845126413	0.183193061	0.554714567	0.135975762	0.858042222	-0.006749728	0.998349492
FGFR1OP	-0.177379271	0.890323886	-0.480880344	0.297599242	-0.19463083	0.901461082	0.254957024	0.798819403
FGFR1OP2	-0.26427634	0.634999772	-0.132971289	0.760985454	0.128852024	0.906865684	-0.250592357	0.633637735
FGFR2	-0.032210114	0.985658233	0.094150742	0.914614791	-0.270556956	0.858331722	-0.067109876	0.975464893
FGFR3	0.520932293	0.923013712	0.180722974	0.956828251	-0.716700356	0.907000089	-1.782409514	0.535121192
FGFRL1	-0.66561635	0.306178424	-0.126395931	0.864754032	-0.46663306	0.592799154	-0.463191143	0.518127698
FGGY	-0.029890029	0.985806013	-0.055868754	0.947650444	-0.498167407	0.565640464	-0.163717335	0.905175308
FGL2	0.032619688	0.985196879	-0.504989129	0.297049314	0.291929591	0.819093136	0.315778866	0.718806223
FGR	-0.714196439	0.783118488	-1.619309341	0.174558135	-0.446447916	0.92361422	0.121640747	0.981697913
FH	-0.407273968	0.409750915	-0.265436977	0.48434436	-0.257027695	0.735750464	-0.370349597	0.438685562
FHAD1	1.224538299	0.791209377	0.191732621	0.958425718	-1.164840728	0.834077254	0.391973074	0.95483549
FHDC1	-0.288662766	0.940449147	0.106808001	0.960793745	0.582056649	0.887523708	-1.051935028	0.584259848
FHIT	0.698170501	0.480715729	-0.481259963	0.511933325	-0.094113466	0.975695006	-0.180617705	0.919482017
FHL1	-0.098658396	0.948164958	0.355527837	0.554127024	0.301578594	0.829939106	0.266078577	0.802102661
FHL2	0.107821188	0.962747826	0.075291778	0.95244692	0.403225707	0.854156821	0.580740852	0.664156263
FHL3	0.382490521	0.904702432	-0.910687394	0.469070946	-0.229659065	0.968429778	0.157869014	0.971336068
FHL5	0.260751512	0.850601757	-0.137614973	0.879181401	-0.366305447	0.80457109	-0.066798826	0.977842742
FHOD1	-0.245318323	0.782275931	0.352385728	0.473686293	-0.169802254	0.90591424	0.052959088	0.975868584
FHOD3	-0.703462653	0.70278549	-1.422620955	0.118395792	-1.278533501	0.404390493	-1.367627681	0.26767294
FIBIN	-0.29893037	0.862672055	0.05133372	0.971762496	-0.357362295	0.864740561	-0.810605771	0.42085371
FIBP	0.493422905	0.38692676	0.396464355	0.345144279	0.092428319	0.957793065	0.190515379	0.81587016
FICD	0.267272675	0.895170617	0.555475841	0.527188789	0.287889403	0.922062792	0.9096486	0.380020061
FIG4	0.17223809	0.765582491	0.082016078	0.846795447	0.111393905	0.914336882	0.073085268	0.929797585
FIGF	-0.620422746	0.571580683	-0.337532089	0.690244173	-0.391806354	0.829939106	-0.985291804	0.195195799
FIGN	-0.364610898	0.532031664	0.00161108	1	-0.394645123	0.520517499	-0.262015749	0.670679824
FIGNL1	-0.006999417	0.996583717	-0.200180224	0.7401084	0.262075777	0.831357214	0.153670975	0.900201625
FIGNL2	0.676027496	0.772540694	0.062696968	0.985197384	-0.002834078	1	0.102481281	0.984633114
FILIP1	0.235877956	0.809013323	0.36375283	0.463078063	0.118687944	0.950732069	0.272880046	0.748389343
FILIP1L	0.698907566	0.210872156	0.954482186	0.012651359	0.770180428	0.148648729	0.843430366	0.058844643
FIP1L1	-0.054624377	0.939654409	-0.096170085	0.7680768	-0.005443674	1	-0.122820655	0.798913982
FIS1	0.004876108	0.99734179	0.195755984	0.684102993	0.019279485	0.999487193	-0.071059784	0.95699393
FITM2	0.278477284	0.766998146	0.408125563	0.441632713	-0.203719577	0.892675092	-0.06695831	0.969980106
FIZ1	0.763334504	0.643324191	-0.109531761	0.945155012	-0.530747916	0.836350821	0.461029602	0.820976484
FJX1	-0.480009876	0.896562586	0.475405919	0.837561068	-0.605635124	0.905503243	0.807080668	0.768570786
FKBP10	0.571813781	0.618403263	0.324819179	0.723085349	0.410802505	0.819896097	0.292807208	0.852519789
FKBP11	0.144864325	0.945444376	0.012346204	0.998557094	0.444989737	0.819567815	0.714307821	0.500533762
FKBP14	0.402964521	0.439154343	0.670489595	0.037886322	0.242310674	0.787810582	0.098043669	0.921772207
FKBP15	0.18712287	0.800578441	0.258345635	0.497450245	0.154877016	0.883967027	0.110936966	0.906306217
FKBP1A	-0.106784866	0.893713059	0.07246665	0.871383606	0.098060783	0.932898071	-0.024674256	0.98654581
FKBP1AP1	0.202409188	0.915689042	0.319326949	0.681963378	-0.03604373	0.999113078	-0.256062293	0.861542853
FKBP1B	0.426143737	0.841590685	0.609486603	0.493612516	0.654215935	0.714983877	-0.013388097	1
FKBP2	-0.139867404	0.859493826	0.048820151	0.929097477	-0.331060466	0.564570902	-0.071407672	0.946062107
FKBP3	0.366036065	0.845423168	0.459942648	0.643507164	0.434749345	0.842545677	0.183597254	0.942908153
FKBP4	0.030665938	0.98483654	-0.235471572	0.679873059	-0.142577502	0.936523261	-0.404829308	0.556456478
FKBP5	0.17453174	0.909471928	-0.741933663	0.146916516	-0.831051906	0.259777257	-0.120283538	0.946062107
FKBP6	0.57518143	0.936913361	-0.665236917	0.82427889	-0.92009354	0.877587155	1.248600503	0.783168594
FKBP7	-0.001270878	1	-0.190710158	0.789169236	0.097203382	0.968398099	-0.196654903	0.875857073
FKBP8	0.649902369	0.618403263	0.138608416	0.908840371	-0.315069441	0.895666963	0.564887659	0.667019675
FKBP9	0.331764961	0.476592706	0.518733773	0.053205436	0.316845594	0.550093842	0.443112601	0.205389684
FKBP9L	-0.62624495	0.754878399	-0.281688821	0.858386689	-0.419733441	0.889217747	-0.312673518	0.902282051
FKBPL	1.17426979	0.750992698	0.955984579	0.636531591	1.986449842	0.513922339	-0.022762025	1
FKRP	-0.203551277	0.898267424	0.397499441	0.601351307	0.196158951	0.936523261	0.888936649	0.204948975
FKSG29	-0.321781504	0.893713059	-1.277840817	0.124159786	0.098225554	0.985291528	-0.441776681	0.809796558
FKTN	0.180961872	0.771453382	0.092861865	0.837651308	0.042331465	0.976840824	0.1694834	0.774887195
FLAD1	0.083209672	0.946161961	0.335315987	0.481062421	-0.054812625	0.980258332	0.222213584	0.798819403
FLCN	0.245656079	0.732680992	0.043269536	0.944016408	-0.159634495	0.896650071	0.041687319	0.979221538
FLG	0.619160895	0.827747841	0.595736124	0.724069029	-0.304604028	0.956954485	-0.032938222	0.998349492
FLG2	2.729621884	0.218477784	0.167834114	0.954574428	-2.409371461	0.410669134	-1.959014344	0.456750642
FLI1	-0.04883363	0.974185338	-0.205963442	0.729281809	0.055590304	0.981343301	0.12978649	0.916564093
FLII	-0.050244378	0.942061925	-0.174249887	0.490332546	-0.135426251	0.820883277	-0.009627892	0.998349492
FLJ10038	-0.051448128	0.951533109	-0.12370974	0.750027559	-0.107844315	0.920613383	-0.166432812	0.768124516
FLJ10661	1.507148655	0.574572119	-1.581686275	0.38449912	-0.608254886	0.934138704	-1.882949224	0.471797253
FLJ11235	-0.316906692	0.948164958	0.265513925	0.925292422	0.155599896	0.989174893	-0.393981262	0.940454143
FLJ12334	-0.138985903	0.979058737	-0.460696214	0.827495527	-0.589289821	0.908836586	-1.060451843	0.671235006
FLJ12825	2.464970388	0.384854929	-0.703678026	0.757284358	-0.056869127	1	0.132361497	0.988629438
FLJ13197	-0.776166914	0.476592706	-0.949524131	0.155978795	-0.275769334	0.906865684	-0.128503954	0.956212352
FLJ13439	0.523261543	0.894416897	0.207433695	0.928076891	0.7696624	0.848800215	-0.166111802	0.977842742
FLJ14107	-0.87523423	0.643324191	-0.912985626	0.43459507	-0.20102934	0.9711866	-0.401191913	0.896475221
FLJ14186	0.574943597	0.876926099	0.218750235	0.907610307	-1.437730999	0.496944196	-1.253408208	0.457208753
FLJ20021	-0.883979904	0.533612771	-0.743571878	0.420608616	-0.419892131	0.861633275	0.013516622	1
FLJ21408	-0.131251862	0.987816383	-1.464106371	0.605822866	2.338692244	0.618638177	1.502607122	0.733973384
FLJ22536	-0.272922677	0.93538708	0.266107009	0.8541926	0.21095487	0.966231921	-0.396274022	0.871630141
FLJ23867	-0.25543638	0.904702432	0.28633265	0.790155397	-0.402494193	0.855113373	-0.28897372	0.878610161
FLJ26850	0	1	0.700618879	0.860675615	-0.012851651	1	-0.547720555	0.949465763
FLJ27352	0.217163077	0.952000856	0.775802299	0.590617596	1.419467662	0.527205448	0.419555507	0.902282051
FLJ27354	-0.498424089	0.841667027	-0.680775647	0.57030704	-0.862889561	0.703849065	-0.224539916	0.948486217
FLJ30403	0.771983982	0.752348104	1.433615628	0.218721525	0.295156915	0.944956756	0.493100866	0.83036776
FLJ31306	-0.096652939	0.933079963	-0.560326174	0.096399047	-0.021659941	0.998152422	-0.469138608	0.318736143
FLJ31485	-0.512557631	0.923850494	1.867048649	0.372140162	0.242695784	0.975695006	-0.804840791	0.842599372
FLJ32224	0.979304323	0.818907692	1.576785002	0.441059356	0.975903077	0.840013272	0.128733147	0.99211035
FLJ33065	-0.822605192	0.494058124	-0.16606482	0.892001287	-0.569404671	0.753764649	-0.375053067	0.831315354
FLJ33360	-1.660915442	0.437920569	-0.825597205	0.628059673	-1.249153003	0.672106229	-0.52688841	0.886117135
FLJ33630	0.79716121	0.543759058	0.430795982	0.680060095	0.189153113	0.957793065	0.332029769	0.865558682
FLJ34208	-1.324298669	0.616874378	1.610824304	0.286531442	-0.835049724	0.822195179	0.115690611	0.989676296
FLJ34503	0.024223892	0.996480295	0.275715764	0.914614791	-0.695515795	0.878589807	-0.143515418	0.984332115
FLJ35024	0.922856688	0.693911307	1.695253969	0.170442749	0.832468269	0.791880994	1.650927883	0.315275143
FLJ35220	0.103117385	0.952000856	0.091982773	0.931317989	-0.15598234	0.947661744	-0.431889239	0.665272444
FLJ35390	0.267615657	0.964995931	-0.885854853	0.690594868	0.782775651	0.912999413	1.3314422	0.733563431
FLJ35776	-0.025205574	0.990876304	-0.079992439	0.928889	-0.311360248	0.831357214	0.008026755	1
FLJ35946	-0.23096239	0.945444376	-0.52734074	0.736005066	0.303980077	0.943297626	-0.389773902	0.887201799
FLJ36031	0.900727241	0.143336965	0.960955103	0.036966403	0.606739088	0.505892397	0.268659902	0.804042479
FLJ36644	0.232415008	0.933079963	-0.983677851	0.279110735	0.584551556	0.806396	-0.090738055	0.981430576
FLJ36777	0.197319223	0.948164958	-0.596163987	0.704097756	-0.707916094	0.779773558	-1.093959572	0.475212826
FLJ37035	-0.201888249	0.925302809	0.274835575	0.766350355	-0.79409103	0.466018166	0.241749894	0.894647909
FLJ37201	-0.464773972	0.842934254	0.42100583	0.75915686	0.001033168	1	-0.822398647	0.617704182
FLJ37453	0.365075412	0.894443565	-0.732350092	0.518095372	0.069613628	0.99514253	0.561025587	0.777273676
FLJ37543	0.70453576	0.651565779	0.853986348	0.379688648	0.955180651	0.572252226	0.892027706	0.503665318
FLJ39051	0.057816551	0.988571873	0.139486324	0.944016408	0.104941431	0.98923261	-0.118638442	0.980587299
FLJ39080	2.930127178	0.597621792	2.915217428	0.402021117	-1.957750607	0.767714303	-1.408839204	0.871071642
FLJ39534	0.095834233	0.985658233	0.08255033	0.977570827	0.714187857	0.845200781	-0.3820558	0.926167671
FLJ39582	0.327616821	0.892842023	-0.692153051	0.484410938	0.149894715	0.970490144	0.597997858	0.70486089
FLJ39639	-0.046711551	0.982844518	-0.116402484	0.888953518	-0.031621661	0.999129493	-0.348219465	0.756484717
FLJ39653	0.06067513	0.959373445	-0.155495433	0.764359819	-0.505548983	0.389346075	-0.759191557	0.050493655
FLJ39739_dup2	0	1	-1.820064305	0.453504215	-1.43710995	0.820883277	-2.750253811	0.407773075
FLJ40292	0.148480691	0.953973208	-0.715156592	0.46758792	0.213009916	0.961498906	-0.058905753	0.994523232
FLJ40852	0.411855929	0.894998719	0.446124131	0.770966333	-0.511020777	0.884627439	-0.023562721	0.9985174
FLJ42289	0.847685827	0.663001934	-0.179487387	0.917012949	-0.290411262	0.943297626	-0.742054389	0.691997997
FLJ42351	-0.084367821	0.987149308	-0.281627982	0.90763426	-0.192575787	0.978790248	0.245670839	0.963006592
FLJ42392	-0.217176262	0.937903368	0.272513702	0.847980185	-0.719956196	0.709268307	-1.063828431	0.369131938
FLJ42393	-0.217262558	0.876933862	-0.219604154	0.761120444	0.03501637	0.996907413	-0.075116963	0.971032511
FLJ42627	2.379538614	0.535020123	-0.214658784	0.952899222	-0.740758547	0.92821563	-1.052230533	0.837152216
FLJ42709	0.323881711	0.834489169	0.634431523	0.367765389	0.169667626	0.952988354	0.433275109	0.725319052
FLJ42875	-0.771437018	0.802194392	-0.44627815	0.857226174	-0.311147466	0.966231921	-0.309937414	0.958393686
FLJ43390	-0.480842057	0.898500223	-1.108667238	0.495129592	-0.059013495	1	-0.585996951	0.846174121
FLJ43663	0.098218199	0.933314808	-0.144346584	0.780038583	0.099245105	0.951472173	-0.259762679	0.696106997
FLJ43879	0.442900537	0.923147781	2.467633867	0.158434873	1.063625346	0.833708284	1.898531319	0.517923768
FLJ44511	-1.594634775	0.712979414	-1.044252189	0.657265743	-0.864180851	0.896650071	-0.673289577	0.890260069
FLJ44606	-0.368940212	0.690166323	0.007018127	0.998947191	0.182559304	0.922749829	-0.567311162	0.398600523
FLJ44635	-0.208709883	0.806075533	-0.371784191	0.360534501	-0.171772347	0.887877706	-0.05189969	0.972170923
FLJ45244	-0.432666519	0.785838406	0.227881871	0.818087874	-0.078773021	0.983084466	0.180014515	0.930663949
FLJ45340	0.107645151	0.942279257	0.028277342	0.980285017	0.088088447	0.970490144	-0.319819243	0.722065168
FLJ46446	-0.023957413	0.995636409	0.590141143	0.81968357	1.298796001	0.759368614	-0.774797176	0.824252816
FLJ46906	-0.53895381	0.859296157	0.507018801	0.752698703	0.081821622	0.996887759	0.122439863	0.981605809
FLJ90757	1.122443357	0.409750915	-0.164166615	0.908234103	0.167395768	0.968429778	0.062795228	0.992656041
FLNA	0.416323445	0.462591834	0.348846954	0.370924097	0.287496812	0.723825683	0.381108271	0.478731345
FLNB	0.048582557	0.962025769	-0.134397373	0.774620372	-0.107217377	0.93792646	0.055862916	0.962929267
FLNC	0.723870373	0.670817123	1.30190224	0.145677245	1.081514446	0.513048539	1.19755581	0.346696114
FLOT1	0.060776926	0.940449147	0.144152838	0.671498771	0.219912762	0.702827399	0.132141866	0.81492983
FLOT2	0.02167603	0.986287157	-0.424123966	0.266023118	-0.120752624	0.938325675	-0.020437544	0.996500401
FLRT1	0.25984649	0.955177771	1.27171756	0.405570313	-1.915400991	0.467943749	0.220869075	0.974328789
FLRT2	0.245028699	0.772084789	0.149454635	0.794139236	0.1940202	0.877090245	0.366445463	0.55971038
FLRT3	0.082467491	0.985436499	0.471829776	0.771223376	-0.207557169	0.969310934	0.633424402	0.774665891
FLT1	-0.390264535	0.65289921	-0.248416336	0.69747914	-0.581605434	0.467943749	-0.647461828	0.28994995
FLT3	0.111692178	0.982196424	-1.29639699	0.34354421	-0.300627896	0.961498906	-0.417958707	0.921013887
FLT3LG	-0.516510795	0.80653102	-0.672432903	0.508949924	-0.533625911	0.834077254	0.58348625	0.740372642
FLT4	-0.541493447	0.662063299	-0.433239312	0.645702228	-1.04238191	0.308107121	-0.103709973	0.968507995
FLVCR1	0.214922142	0.920389629	-0.294594308	0.769568887	0.1816185	0.95500504	0.49938815	0.698513501
FLVCR2	0.003473046	0.999915631	-0.307292279	0.724392506	-0.333698819	0.852583409	0.087660738	0.971336068
FLYWCH1	-0.224395577	0.910315842	-0.331691291	0.729281809	-0.160530839	0.96079561	0.035979497	0.997144277
FLYWCH2	-0.248934261	0.896400924	-0.10121457	0.931309671	-0.374115508	0.844850062	-0.20800412	0.914469267
FMN1	0.489490812	0.614733681	0.325049038	0.647390467	0.313698374	0.840025802	0.380212684	0.709033911
FMN2	0.467884819	0.937903368	0.295291614	0.928193576	0.02337995	1	1.526102684	0.606511981
FMNL1	0.256033643	0.920534511	-0.243950763	0.851163318	0.311609209	0.922749829	0.922076107	0.455946013
FMNL2	0.496900007	0.381725022	0.74782537	0.028557783	0.497130856	0.415240936	0.230557564	0.75759951
FMNL3	-0.144231687	0.798459539	0.039683105	0.928840212	-0.12872882	0.867131861	0.251471766	0.523920523
FMO1	0.10801023	0.950825976	-0.087139614	0.930160713	-0.369997698	0.801396812	0.195314125	0.903850937
FMO2	-0.342427713	0.730676019	-0.436463205	0.429304481	-0.520443424	0.564570902	-0.232471467	0.838952215
FMO3	-0.277621752	0.934720414	-0.295984409	0.859212367	-0.74949202	0.780672593	-0.247017324	0.943755412
FMO4	-0.118496521	0.921380308	0.325401765	0.430405455	0.102712535	0.951481247	-0.131642733	0.89951473
FMO5	0.149756982	0.942279257	-0.026430012	0.989525674	-0.553794033	0.703849065	-0.548784601	0.614570859
FMO6P	1.058053152	0.463554974	0.08999576	0.947548652	-0.394561327	0.870524567	-0.264800707	0.907873346
FMOD	0.099752093	0.946018096	0.36950377	0.520519398	0.169254846	0.933314636	0.051616716	0.981430576
FMR1	0.059439621	0.939331511	-0.256347706	0.324931942	0.004214202	1	-0.06048547	0.938957716
FMR1-AS1	-0.801302518	0.786965986	0.97413727	0.453422415	0.094896384	0.99514253	-1.701790673	0.413924065
FN1	0.239807587	0.842934254	0.403830381	0.481288639	0.39354118	0.732498982	0.472653789	0.549150903
FN3K	-0.006789373	0.997592087	-0.068631529	0.947548652	-0.512111751	0.711748175	-0.644052675	0.471797253
FN3KRP	-0.177150795	0.889661811	-0.065555486	0.933934869	-0.058135776	0.981284276	-0.173927959	0.8829801
FNBP1	0.209398786	0.798459539	-0.149541296	0.775113453	0.212810496	0.834077254	0.19356924	0.805586919
FNBP1L	-0.273517919	0.596076834	-0.184191283	0.61440437	0.019986773	0.996887759	-0.026133879	0.986462127
FNBP4	-0.191001351	0.654099946	-0.260864211	0.279177459	-0.103268361	0.896246834	-0.160403948	0.712265688
FNDC1	-0.533858604	0.832286782	-0.488377036	0.742855148	1.282913188	0.486471047	-1.083917646	0.517181533
FNDC3A	-0.092800168	0.857350693	-0.054375338	0.86921367	0.00259262	1	-0.096957815	0.839738027
FNDC3B	0.246503079	0.595705207	0.249160018	0.394314016	0.176205676	0.803459107	0.188901273	0.696248965
FNDC4	-0.212944484	0.899273999	-0.164308163	0.860675615	0.900953421	0.308481246	-0.182516244	0.917605494
FNDC5	0.560262839	0.802194392	-0.111351127	0.942691473	0.765507419	0.721075265	-1.065250669	0.421622867
FNDC8	0.407678423	0.93538708	-0.659319284	0.838564063	1.814377129	0.532769209	0.134527757	0.986446824
FNIP1	0.130169782	0.842550524	0.045885474	0.922508912	0.246012014	0.668078473	0.129695447	0.835000119
FNIP2	-0.104478329	0.894416897	-0.067842945	0.87805193	-0.00130935	1	-0.074016369	0.927720647
FNTA	-0.236346145	0.594607008	-0.153589412	0.635013806	-0.102826578	0.914536397	-0.177742896	0.702114843
FNTB	0.289155613	0.594607008	0.223276082	0.551916243	0.108315324	0.933314636	0.056422106	0.959926564
FOLH1	-1.009425705	0.837266009	-0.580346172	0.822855085	-0.538576616	0.945069596	-1.832044488	0.517662215
FOLR1	-0.152401994	0.988442717	0	1	0.647475306	0.961959838	-1.159143192	0.768570786
FOLR2	0.957017452	0.164805237	1.281533244	0.007867154	0.806662993	0.321679996	0.669770828	0.394301876
FOLR3	0.48882856	0.940140303	-1.366941643	0.639088724	-2.30190422	0.594467142	-0.459027429	0.949465763
FOS	1.193001641	0.635468673	-0.097916639	0.97455317	2.343151354	0.244947595	1.194219058	0.619608985
FOSB	1.180296087	0.752297499	1.04546455	0.669078283	2.482588095	0.42601421	2.485311237	0.36449424
FOSL1	0.679198666	0.89690047	1.640926245	0.458019026	0.172142641	0.988165635	1.349636222	0.689418585
FOSL2	-0.101983999	0.943331638	-0.012223685	0.997095002	0.225045145	0.879442977	-0.004381476	1
FOXA1	1.160963279	0.793726722	-1.824434619	0.493829895	-1.421760396	0.863686821	3.145383528	0.422639352
FOXC1	0.59397787	0.62795942	1.351118602	0.030183607	0.669916906	0.614575216	1.447501302	0.04339369
FOXD2	0.393579366	0.907216205	0.705238811	0.641683997	0.292705907	0.95663967	0.079882285	0.994369696
FOXE1	-0.12754496	0.985658233	-1.106397926	0.635877569	1.499452297	0.703849065	1.827814904	0.584259848
FOXF1	0.630412659	0.904702432	0.620604376	0.856639824	0.047303033	1	-0.664145316	0.883220632
FOXF2	0.592062067	0.841590685	-1.071956545	0.527743632	1.217494875	0.67545975	0.623973584	0.836983278
FOXG1	0.23593992	0.880768243	-0.073250451	0.943318019	0.027343009	0.999778191	-0.667447148	0.413573841
FOXH1	0.139334683	0.956918515	0.081317572	0.956952089	-0.279655491	0.936132741	0.178241336	0.949465763
FOXI2	-0.627383933	0.886977346	-2.613183367	0.132894876	-0.465770208	0.951713891	-1.232691392	0.671235006
FOXJ2	0.068288681	0.938479178	-0.238871952	0.430125185	0.088033271	0.941741211	0.339252765	0.395128471
FOXJ3	-0.202617045	0.59572993	-0.140965128	0.602913095	0.036349868	0.97402433	-0.038716823	0.961193722
